id,user_id,role,event_type,event_key,message,order_id,created_at.
4becdd63-32b3-4835-8b61-f17cf9201443,john_doe,customer,order_created,order_created:508fa790-a671-4120-87dd-57aa38f94c0b:john_doe,Your order 508fa790-a671-4120-87dd-57aa38f94c0b was created successfully.,508fa790-a671-4120-87dd-57aa38f94c0b,2026-03-24T10:11:39.142965+00:00
f0c953b9-4b8d-472c-943e-fdd2ec0a58cc,premium_user,customer,order_created,order_created:1262bb95-805f-4219-b5da-d853d6aa0fa5:premium_user,Your order 1262bb95-805f-4219-b5da-d853d6aa0fa5 was created successfully.,1262bb95-805f-4219-b5da-d853d6aa0fa5,2026-03-24T10:18:47.232149+00:00
d5d6f208-db34-4821-a565-6a2306f71715,premium_user,customer,order_created,order_created:ce4caa5a-d59c-4918-a03d-6eb003a59cc0:premium_user,Your order ce4caa5a-d59c-4918-a03d-6eb003a59cc0 was created successfully.,ce4caa5a-d59c-4918-a03d-6eb003a59cc0,2026-03-24T10:19:45.866526+00:00
c3029901-995f-4b48-b854-0fc289c2e3fb,normal_user,customer,order_created,order_created:f9069666-4b79-48d9-8c5f-299d5fe1e45c:normal_user,Your order f9069666-4b79-48d9-8c5f-299d5fe1e45c was created successfully.,f9069666-4b79-48d9-8c5f-299d5fe1e45c,2026-03-24T10:20:05.729517+00:00
7c734853-66c3-4c15-8f2f-b2a7946ce18a,normal_user,customer,order_created,order_created:ebdc0e28-5179-49e2-90dc-bec724676f8d:normal_user,Your order ebdc0e28-5179-49e2-90dc-bec724676f8d was created successfully.,ebdc0e28-5179-49e2-90dc-bec724676f8d,2026-03-24T10:20:20.371711+00:00
fb281166-a720-4892-a359-ea60d961a382,normal_user,customer,order_created,order_created:ea1d4be6-fff9-448d-a757-f9afd4e39d71:normal_user,Your order ea1d4be6-fff9-448d-a757-f9afd4e39d71 was created successfully.,ea1d4be6-fff9-448d-a757-f9afd4e39d71,2026-03-24T10:41:30.256083+00:00
d4974589-8cbd-47f1-a743-3c4e4b463464,john_doe,customer,order_created,order_created:e6ad6d20-5e39-4bb9-a76d-78b427d9c820:john_doe,Your order e6ad6d20-5e39-4bb9-a76d-78b427d9c820 was created successfully.,e6ad6d20-5e39-4bb9-a76d-78b427d9c820,2026-03-24T10:41:43.899769+00:00
a3e581f3-5117-42d5-95a2-f38b33bc4bd7,jahan,customer,order_created,order_created:bf3c8b6d-244d-4dd5-a787-4577cfaed211:jahan,Your order bf3c8b6d-244d-4dd5-a787-4577cfaed211 was created successfully.,bf3c8b6d-244d-4dd5-a787-4577cfaed211,2026-03-24T10:47:39.495347+00:00
d6e6e1bb-9ba5-4198-ac72-3a8baada62e9,jahan2,customer,order_created,order_created:cdc9699c-c1dd-45e4-8309-a41fadb50d57:jahan2,Your order cdc9699c-c1dd-45e4-8309-a41fadb50d57 was created successfully.,cdc9699c-c1dd-45e4-8309-a41fadb50d57,2026-03-24T10:52:16.300001+00:00
a50a14f7-776c-4b87-a5b9-01bc1b0bae8e,zane,customer,order_created,order_created:e3736942-772a-4449-b806-6e853c6ac32f:zane,Your order e3736942-772a-4449-b806-6e853c6ac32f was created successfully.,e3736942-772a-4449-b806-6e853c6ac32f,2026-03-24T10:53:05.299203+00:00
1950a099-de61-4539-9ac6-defe0c4c58d7,ne,customer,order_created,order_created:42638d2e-7d09-49b0-92b4-6a8ca7c2496f:ne,Your order 42638d2e-7d09-49b0-92b4-6a8ca7c2496f was created successfully.,42638d2e-7d09-49b0-92b4-6a8ca7c2496f,2026-03-24T10:54:54.464595+00:00
0f094fee-95a2-43b6-a61a-21652e00a8f5,jahan,customer,order_created,order_created:4e00a42d-bfb2-4baf-b352-da5b91ad3cba:jahan,Your order 4e00a42d-bfb2-4baf-b352-da5b91ad3cba was created successfully.,4e00a42d-bfb2-4baf-b352-da5b91ad3cba,2026-03-25T01:59:59.811732+00:00
c3adf281-bfdf-4f62-8a2a-740ac2cd71bf,jahan,customer,order_created,order_created:e3d80314-d478-4be0-b8f8-0a9bba91fe33:jahan,Your order e3d80314-d478-4be0-b8f8-0a9bba91fe33 was created successfully.,e3d80314-d478-4be0-b8f8-0a9bba91fe33,2026-03-25T02:24:37.168983+00:00
bcc7f2e9-f38e-4049-9bdc-57fef6e171b9,jahan,customer,order_created,order_created:66f8ee1d-83da-4e4a-9e96-278811b53dd4:jahan,Your order 66f8ee1d-83da-4e4a-9e96-278811b53dd4 was created successfully.,66f8ee1d-83da-4e4a-9e96-278811b53dd4,2026-03-25T02:24:37.191998+00:00
715972e7-a9e9-4aa2-8d74-add2733ca6b3,jahan,customer,order_status_changed,order_status_changed:o1:preparing:jahan,Your order o1 status changed to preparing.,o1,2026-03-25T02:24:37.227793+00:00
d4c6099b-f6b1-449e-b3a4-76c8a26951af,jahan,customer,order_created,order_created:433fcf6e-a5f9-4793-80fc-9a7779e6f9e3:jahan,Your order 433fcf6e-a5f9-4793-80fc-9a7779e6f9e3 was created successfully.,433fcf6e-a5f9-4793-80fc-9a7779e6f9e3,2026-03-25T02:31:09.536498+00:00
4b9c2f9b-7e32-4313-9777-ef7839a91e3b,jahan,customer,order_created,order_created:9bab2fc9-9faf-4d51-8df7-85fb294ec153:jahan,Your order 9bab2fc9-9faf-4d51-8df7-85fb294ec153 was created successfully.,9bab2fc9-9faf-4d51-8df7-85fb294ec153,2026-03-25T02:31:09.559788+00:00
0f0fb3e7-d023-4291-9ddc-a8352d2453b2,jahan,customer,order_created,order_created:f608c8f9-f2f9-470f-9c44-e9806ea23212:jahan,Your order f608c8f9-f2f9-470f-9c44-e9806ea23212 was created successfully.,f608c8f9-f2f9-470f-9c44-e9806ea23212,2026-03-25T02:31:55.322184+00:00
46bc7919-eef1-4708-a2e2-fd07b0bb787d,jahan,customer,order_created,order_created:8ed7e658-6b3c-4d59-b9af-084fe06fe06e:jahan,Your order 8ed7e658-6b3c-4d59-b9af-084fe06fe06e was created successfully.,8ed7e658-6b3c-4d59-b9af-084fe06fe06e,2026-03-25T02:31:55.344642+00:00
2aeb1500-b893-45f0-83b9-71b2a6cdda7b,jahan,customer,payment_success,payment_success:ord_123:jahan,Payment for order ord_123 was successful.,ord_123,2026-03-25T02:31:55.403400+00:00
01dfe1ba-eb80-4316-b528-388411e023dc,jahan,customer,payment_failed,payment_failed:ord_999:jahan,Payment for order ord_999 failed.,ord_999,2026-03-25T02:31:55.475838+00:00
8a2b0b77-632d-4e75-986c-4484e0146303,jahan,customer,order_created,order_created:2a7864f2-936f-4340-9451-bd6cd93d4df6:jahan,Your order 2a7864f2-936f-4340-9451-bd6cd93d4df6 was created successfully.,2a7864f2-936f-4340-9451-bd6cd93d4df6,2026-03-25T02:33:00.768268+00:00
800672a8-83fb-4195-83a9-1594d3015cfb,jahan,customer,order_created,order_created:18958669-8804-4d23-81c0-121a685758b2:jahan,Your order 18958669-8804-4d23-81c0-121a685758b2 was created successfully.,18958669-8804-4d23-81c0-121a685758b2,2026-03-25T02:33:00.800881+00:00
2d16f001-d62d-4229-bb5e-55727e065d1e,jahan,customer,order_created,order_created:e8eee40f-bb95-4739-9fcc-ab5d429a11ef:jahan,Your order e8eee40f-bb95-4739-9fcc-ab5d429a11ef was created successfully.,e8eee40f-bb95-4739-9fcc-ab5d429a11ef,2026-03-25T02:33:14.484320+00:00
cca62f89-1841-4bbd-8104-b9832938a714,jahan,customer,order_created,order_created:0ae86741-354c-40fe-8a74-a508dfef33de:jahan,Your order 0ae86741-354c-40fe-8a74-a508dfef33de was created successfully.,0ae86741-354c-40fe-8a74-a508dfef33de,2026-03-25T02:33:14.504510+00:00
