id,restaurant_id,item_name,price,stock_count,is_available
1,1,Beef pie,24.88,20,True
2,1,Briyani rice,27.98,16,True
3,1,Burger,24.86,32,True
4,1,Burritos,31.51,30,True
5,1,Chicken rice,27.53,29,True
6,1,Chicken wings,22.4,23,True
7,1,CoffeeBoba tea,26.65,21,True
8,1,Cookie,22.18,49,True
9,1,Cup cake,29.27,20,True
10,1,Dumplings,31.3,42,True
11,1,Fried chicken,29.25,17,True
12,1,Pasta,28.91,16,True
13,1,PastrySmoothie,33.14,104,True
14,1,Pizza,22.54,28,True
15,1,Salad,21.78,29,True
16,1,Shawarma,18.2,47,True
17,1,Soup,20.69,16,True
18,1,Sushi,37.09,50,True
19,1,Taccos,35.27,27,True
20,1,Whole cake,29.34,49,True
21,2,Beef pie,26.51,41,True
22,2,Briyani rice,30.05,29,True
23,2,Burger,12.72,43,True
24,2,Burritos,26.84,32,True
25,2,Chicken pie,44.63,15,True
26,2,Chicken rice,26.67,25,True
27,2,Chicken wings,27.95,42,True
28,2,CoffeeBoba tea,39.15,36,True
29,2,Cookie,28.97,32,True
30,2,Cup cake,29.04,24,True
31,2,Dumplings,33.52,28,True
32,2,Fried chicken,25.35,36,True
33,2,Pasta,31.6,21,True
34,2,PastrySmoothie,11.44,20,True
35,2,Pizza,25.52,39,True
36,2,Salad,21.79,21,True
37,2,Shawarma,31.11,37,True
38,2,Soup,32.75,37,True
39,2,Sushi,33.1,31,True
40,2,Taccos,28.11,17,True
41,2,Whole cake,31.5,44,True
42,3,Beef pie,25.29,49,True
43,3,Briyani rice,23.96,22,True
44,3,Burger,45.27,39,True
45,3,Burritos,24.37,20,True
46,3,Chicken pie,26.57,50,True
47,3,Chicken rice,17.88,33,True
48,3,Chicken wings,22.82,38,True
49,3,CoffeeBoba tea,28.55,27,True
50,3,Cookie,32.8,19,True
51,3,Cup cake,19.87,17,True
52,3,Dumplings,25.07,29,True
53,3,Fried chicken,33.8,33,True
54,3,Pasta,21.04,20,True
55,3,PastrySmoothie,22.77,29,True
56,3,Pizza,25.97,21,True
57,3,Salad,26.54,39,True
58,3,Shawarma,15.3,32,True
59,3,Soup,31.35,44,True
60,3,Sushi,26.25,38,True
61,3,Taccos,35.2,25,True
62,3,Whole cake,6.21,38,True
63,4,Briyani rice,23.03,37,True
64,4,Burger,30.42,28,True
65,4,Burritos,24.52,32,True
66,4,Chicken pie,29.11,19,True
67,4,Chicken rice,27.39,25,True
68,4,Chicken wings,23.93,49,True
69,4,CoffeeBoba tea,30.62,30,True
70,4,Cookie,22.64,25,True
71,4,Cup cake,29.95,44,True
72,4,Dumplings,35.88,39,True
73,4,Fried chicken,15.21,32,True
74,4,Pasta,37.44,50,True
75,4,PastrySmoothie,27.73,29,True
76,4,Pizza,29.38,35,True
77,4,Salad,22.66,18,True
78,4,Shawarma,26.76,29,True
79,4,Soup,10.57,17,True
80,4,Sushi,17.16,35,True
