order_item_id,order_id,item_id,quantity,item_price
2c52ac2c-aa55-42b2-afc4-48b565906427,ea1d4be6-fff9-448d-a757-f9afd4e39d71,16,2,18.20
f14a238e-a52d-4418-9316-06b792de458b,e6ad6d20-5e39-4bb9-a76d-78b427d9c820,16,2,18.20
9947e212-4842-4990-9814-7f118ddef3c5,bf3c8b6d-244d-4dd5-a787-4577cfaed211,19,1,35.27
21cbdbc7-eac3-43e1-a6f1-0f3c0fbe31de,cdc9699c-c1dd-45e4-8309-a41fadb50d57,19,1,35.27
454362c7-6729-4a80-8a38-82755cddb5c2,e3736942-772a-4449-b806-6e853c6ac32f,29,1,28.97
6ff9a5ee-612f-4c76-92e4-8f5fd5fb9f95,42638d2e-7d09-49b0-92b4-6a8ca7c2496f,16,2,18.20
02a9f846-bef0-46a5-bf62-0f54c8082529,4e00a42d-bfb2-4baf-b352-da5b91ad3cba,16,1,18.20
5765db9b-3c45-4eb9-847b-ae8acc83e009,test_order_1,item_1,2,15.50
58789319-0491-4336-bf90-d7243d959842,test_order_2,item_1,1,10.00
7b405132-70be-4009-96c6-a43f1a09fdc7,test_order_2,item_2,2,15.00
67dab319-519a-4799-87ef-ec2a813c4ac2,test_order_3,item_1,1,10.00
26d4c271-df80-497e-8322-88b837ff13f7,test_order_4,item_2,1,20.00
39631cce-1201-410f-9192-02b49d3b41ec,test_order_6,item_2,1,20.00
385bcab6-017c-4b26-8624-863739a8d14e,test_order_7,item_1,1,10.00
a1882152-c8f5-4a8d-80bd-d8c0ab56d0d5,test_order_7,item_2,1,15.00
a8e87799-fac9-4726-8f6a-56c83cfac6e2,test_order_8,item_3,2,20.00
609d0b98-71f3-43e3-9b35-e20065818910,test_order_9,item_1,1,10.00
ddf8d1d6-c6e2-49cc-97ed-57f81badc511,test_order_10,item_2,1,10.50
651c0785-27f3-4d5e-9fc7-6d18d58877c7,test_order_11,item_1,5,10.00
fd969aed-199c-4a4d-9eef-86f4bcc23f9c,test_order_1,item_1,2,15.50
9642eb47-5d08-4283-ab99-f550e20fc0c8,test_order_2,item_1,1,10.00
3d541895-7f44-436a-a79a-84e8cb8a4cb7,test_order_2,item_2,2,15.00
e47ad9fc-4bc9-4964-91e2-808a53bf68b4,test_order_3,item_1,1,10.00
1a5a0b40-4be4-4d54-9089-b06c95a62e8c,test_order_4,item_2,1,20.00
d11a4bb2-e188-429b-a79b-83fe71f42f55,test_order_5,item_1,1,10.00
fc3f0098-1a54-4e59-8310-69849451364d,test_order_6,item_2,1,20.00
7f1f0671-9d10-4a92-9d51-15b1a5b956f4,test_order_7,item_1,1,10.00
0c7b5bff-0c11-444d-ab0e-71c83d054a8c,test_order_7,item_2,1,15.00
bc994594-9e50-4efa-a049-512e69b3e301,test_order_8,item_3,2,20.00
0071afa8-b9e9-446a-9c89-60a18fe87986,test_order_9,item_1,1,10.00
340f468c-7ec6-47ac-9aba-fcec007777d8,test_order_10,item_2,1,10.50
442d1c6a-ce41-485b-99c3-7925104c90af,test_order_11,item_1,5,10.00
6e7eeb39-4f8c-483c-8996-2469870b27b1,test_order_1,item_1,2,15.50
4f45b16d-e999-4eaa-8bcb-cb2545de3972,test_order_2,item_1,1,10.00
796953d6-5fe3-42f7-9438-510ecf4b0fe5,test_order_2,item_2,2,15.00
04849285-964a-41d2-985b-124a1ec043f3,test_order_3,item_1,1,10.00
365759a0-9622-49e4-9128-0856ddf1d751,test_order_4,item_2,1,20.00
3823bf87-0012-4673-8a3f-ee8b8fa16a73,test_order_5,item_1,1,10.00
1d7e0173-cf17-44fd-bf63-89d4729bf49e,test_order_6,item_2,1,20.00
a7c862be-f005-4232-a36f-22846e2bcc30,test_order_7,item_1,1,10.00
ceb6e3ae-b81c-47f3-8c80-54290ad9b1a9,test_order_7,item_2,1,15.00
375dae6b-7f74-48e1-8165-d33084296573,test_order_8,item_3,2,20.00
ec79e6b1-5876-4ffd-8c87-d1cb34431c5b,test_order_9,item_1,1,10.00
10b93b43-8d9b-44e8-8127-b169d559954c,test_order_10,item_2,1,10.50
6b2f1c92-14b1-4425-a26c-b02b28c2e58d,test_order_11,item_1,5,10.00
