id,name,cuisine,rating,is_active
16,Restaurant 16,Mexican,4.6,True
30,Restaurant 30,Japanese,4.0,True
3,Restaurant 3,American,4.6,True
93,Restaurant 93,Japanese,4.7,True
15,Restaurant 15,Mexican,4.3,True
63,Restaurant 63,Vegan,4.4,True
21,Restaurant 21,American,4.5,True
80,Restaurant 80,Japanese,4.4,True
100,Restaurant 100,Indian,3.8,True
57,Restaurant 57,American,4.0,True
50,Restaurant 50,Chinese,4.0,True
42,Restaurant 42,Vegan,4.6,True
45,Restaurant 45,Chinese,4.3,True
34,Restaurant 34,Vegan,4.7,True
72,Restaurant 72,Indian,4.2,True
36,Restaurant 36,Vegan,4.8,True
5,Restaurant 5,American,4.1,True
97,Restaurant 97,Chinese,4.6,True
26,Restaurant 26,Japanese,3.9,True
83,Restaurant 83,Italian,4.8,True
95,Restaurant 95,Italian,5.0,True
32,Restaurant 32,Indian,4.0,True
62,Restaurant 62,Mediterranean,3.7,True
56,Restaurant 56,Indian,4.5,True
40,Restaurant 40,Mediterranean,4.6,True
1,Restaurant 1,American,4.3,True
69,Restaurant 69,Mediterranean,4.9,True
46,Restaurant 46,Mediterranean,3.5,True
51,Restaurant 51,Chinese,4.7,True
48,Restaurant 48,Indian,4.5,True
12,Restaurant 12,American,4.7,True
87,Restaurant 87,Italian,4.6,True
91,Restaurant 91,Italian,4.1,True
65,Restaurant 65,Chinese,4.8,True
44,Restaurant 44,Mexican,4.6,True
23,Restaurant 23,Vegan,4.1,True
8,Restaurant 8,Indian,4.2,True
25,Restaurant 25,Japanese,3.7,True
77,Restaurant 77,Indian,3.5,True
41,Restaurant 41,Vegan,4.7,True
47,Restaurant 47,Japanese,4.4,True
6,Restaurant 6,American,3.8,True
94,Restaurant 94,Indian,3.8,True
9,Restaurant 9,Chinese,4.1,True
4,Restaurant 4,Chinese,4.2,True
13,Restaurant 13,Indian,3.8,True
81,Restaurant 81,Chinese,4.5,True
53,Restaurant 53,Mediterranean,3.9,True
20,Restaurant 20,Mexican,4.2,True
11,Restaurant 11,Mediterranean,4.6,True
59,Restaurant 59,Mediterranean,4.7,True
18,Restaurant 18,American,4.4,True
2,Restaurant 2,Italian,3.9,True
96,Restaurant 96,Italian,4.4,True
39,Restaurant 39,Vegan,4.7,True
86,Restaurant 86,Mexican,3.6,True
35,Restaurant 35,Mediterranean,4.4,True
92,Restaurant 92,Italian,3.6,True
75,Restaurant 75,Mediterranean,4.7,True
24,Restaurant 24,Indian,4.2,True
10,Restaurant 10,Indian,4.9,True
85,Restaurant 85,American,5.0,True
19,Restaurant 19,Indian,3.8,True
68,Restaurant 68,Japanese,3.9,True
55,Restaurant 55,Italian,4.1,True
54,Restaurant 54,Chinese,4.4,True
67,Restaurant 67,Japanese,4.8,True
28,Restaurant 28,American,4.7,True
43,Restaurant 43,Chinese,3.7,True
99,Restaurant 99,Chinese,4.5,True
14,Restaurant 14,Mediterranean,3.9,True
76,Restaurant 76,Mediterranean,4.6,True
84,Restaurant 84,Indian,3.5,True
70,Restaurant 70,Italian,4.9,True
60,Restaurant 60,Italian,3.7,True
22,Restaurant 22,Indian,4.2,True
31,Restaurant 31,Vegan,4.7,True
66,Restaurant 66,American,4.9,True
82,Restaurant 82,Japanese,4.0,True
61,Restaurant 61,Italian,3.8,True
74,Restaurant 74,Vegan,4.3,True
64,Restaurant 64,Japanese,4.5,True
71,Restaurant 71,Chinese,4.8,True
88,Restaurant 88,Mediterranean,4.0,True
29,Restaurant 29,Italian,4.7,True
52,Restaurant 52,Italian,5.0,True
79,Restaurant 79,Chinese,3.6,True
37,Restaurant 37,Japanese,4.8,True
49,Restaurant 49,American,4.7,True
7,Restaurant 7,Italian,4.3,True
17,Restaurant 17,Indian,3.6,True
38,Restaurant 38,Chinese,4.3,True
73,Restaurant 73,Vegan,4.8,True
98,Restaurant 98,Chinese,4.0,True
90,Restaurant 90,American,3.7,True
33,Restaurant 33,Chinese,3.8,True
58,Restaurant 58,Vegan,4.5,True
89,Restaurant 89,American,4.5,True
78,Restaurant 78,Indian,4.5,True
27,Restaurant 27,Vegan,4.0,True
