id,restaurant_id,item_name,price,is_available
1,1,Beef pie,24.88,True
2,1,Briyani rice,27.98,True
3,1,Burger,24.86,True
4,1,Burritos,31.51,True
5,1,Chicken rice,27.53,True
6,1,Chicken wings,22.4,True
7,1,CoffeeBoba tea,26.65,True
8,1,Cookie,22.18,True
9,1,Cup cake,29.27,True
10,1,Dumplings,31.3,True
11,1,Fried chicken,29.25,True
12,1,Pasta,28.91,True
13,1,PastrySmoothie,33.14,True
14,1,Pizza,22.54,True
15,1,Salad,21.78,True
16,1,Shawarma,18.2,True
17,1,Soup,20.69,True
18,1,Sushi,37.09,True
19,1,Taccos,35.27,True
20,1,Whole cake,29.34,True
21,2,Beef pie,26.51,True
22,2,Briyani rice,30.05,True
23,2,Burger,12.72,True
24,2,Burritos,26.84,True
25,2,Chicken pie,44.63,True
26,2,Chicken rice,26.67,True
27,2,Chicken wings,27.95,True
28,2,CoffeeBoba tea,39.15,True
29,2,Cookie,28.97,True
30,2,Cup cake,29.04,True
31,2,Dumplings,33.52,True
32,2,Fried chicken,25.35,True
33,2,Pasta,31.6,True
34,2,PastrySmoothie,11.44,True
35,2,Pizza,25.52,True
36,2,Salad,21.79,True
37,2,Shawarma,31.11,True
38,2,Soup,32.75,True
39,2,Sushi,33.1,True
40,2,Taccos,28.11,True
41,2,Whole cake,31.5,True
42,3,Beef pie,25.29,True
43,3,Briyani rice,23.96,True
44,3,Burger,45.27,True
45,3,Burritos,24.37,True
46,3,Chicken pie,26.57,True
47,3,Chicken rice,17.88,True
48,3,Chicken wings,22.82,True
49,3,CoffeeBoba tea,28.55,True
50,3,Cookie,32.8,True
51,3,Cup cake,19.87,True
52,3,Dumplings,25.07,True
53,3,Fried chicken,33.8,True
54,3,Pasta,21.04,True
55,3,PastrySmoothie,22.77,True
56,3,Pizza,25.97,True
57,3,Salad,26.54,True
58,3,Shawarma,15.3,True
59,3,Soup,31.35,True
60,3,Sushi,26.25,True
61,3,Taccos,35.2,True
62,3,Whole cake,6.21,True
63,4,Briyani rice,23.03,True
64,4,Burger,30.42,True
65,4,Burritos,24.52,True
66,4,Chicken pie,29.11,True
67,4,Chicken rice,27.39,True
68,4,Chicken wings,23.93,True
69,4,CoffeeBoba tea,30.62,True
70,4,Cookie,22.64,True
71,4,Cup cake,29.95,True
72,4,Dumplings,35.88,True
73,4,Fried chicken,15.21,True
74,4,Pasta,37.44,True
75,4,PastrySmoothie,27.73,True
76,4,Pizza,29.38,True
77,4,Salad,22.66,True
78,4,Shawarma,26.76,True
79,4,Soup,10.57,True
80,4,Sushi,17.16,True
81,4,Taccos,31.52,True
82,4,Whole cake,24.29,True
83,5,Beef pie,21.33,True
84,5,Briyani rice,22.74,True
85,5,Burger,27.12,True
86,5,Burritos,18.75,True
87,5,Chicken pie,48.76,True
88,5,Chicken rice,22.61,True
89,5,Chicken wings,26.75,True
90,5,CoffeeBoba tea,23.95,True
91,5,Cookie,27.64,True
92,5,Cup cake,23.07,True
93,5,Dumplings,32.51,True
94,5,Fried chicken,30.1,True
95,5,Pasta,27.2,True
96,5,PastrySmoothie,25.67,True
97,5,Pizza,42.36,True
98,5,Salad,20.56,True
99,5,Shawarma,27.32,True
100,5,Soup,26.29,True
101,5,Sushi,37.84,True
102,5,Taccos,31.89,True
103,5,Whole cake,19.55,True
104,6,Beef pie,20.01,True
